op name, kernel name, exec duration (ms), global size, local size, output size
snapkv_V_sel_t-2,kernel_cpy_f32_f32,0.009984,1024x8x1,8x1x1,8x128x8x1
snapkv_K_sel-2,kernel_get_rows_f16,0.003072,512x8x1,64x1x1,128x8x8x1
node_172,kernel_mul_mat_f32_f32,0.227840,512x32x32,64x1x1,8x125x32x1
snapkv_kq_soft_max-2,kernel_soft_max_4,0.056064,8000x32x1,64x1x1,8x125x32x1
snapkv_kqv-2,kernel_mul_mat_f32_f32,3.292928,8192x32x32,64x1x1,128x125x32x1
kqv_out-2,kernel_cpy_f32_f32,0.040960,2048x125x1,64x1x1,4096x125x1x1
cache_k_l2 (view) (permuted) (view),kernel_set_rows_f16_i64,0.003072,1024x8x1,128x1x1,128x256x8x1
snapkv_V_sel-2 (permuted) (cont),kernel_cpy_f32_f32,0.002816,512x8x1,64x1x1,128x8x8x1
cache_v_l2 (view) (view) (view),kernel_set_rows_f16_i64,0.018944,128x64x1,1x64x1,1x4194304x1x1
attn_out-2,kernel_transpose_32_16,0.072192,4096x32x0,16x1x0,4096x125x1x1
attn_out-2,kernel_mul_mat_Ab_Bi_8x4,2.214912,16x1024x4,1x32x4,4096x125x1x1
ffn_inp-2,kernel_add,0.088064,8000x1x1,64x1x1,4096x125x1x1
ffn_norm-2,kernel_rms_norm_mul,0.054784,128000x1x1,1024x1x1,4096x125x1x1
ffn_gate-2,kernel_transpose_32_16,0.072192,4096x32x0,16x1x0,14336x125x1x1
ffn_gate-2,kernel_mul_mat_Ab_Bi_8x4,7.782912,16x3584x4,1x32x4,14336x125x1x1
ffn_up-2,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,14336x125x1x1
ffn_up-2,kernel_mul_mat_Ab_Bi_8x4,7.857920,16x3584x4,1x32x4,14336x125x1x1
ffn_swiglu-2,kernel_swiglu,0.380928,64000x1x1,512x1x1,14336x125x1x1
ffn_out-2,kernel_transpose_32_16,0.249088,14336x32x0,16x1x0,4096x125x1x1
ffn_out-2,kernel_mul_mat_Ab_Bi_8x4,7.944960,16x1024x4,1x32x4,4096x125x1x1
l_out-2,kernel_add,0.092160,8000x1x1,64x1x1,4096x125x1x1
attn_norm-3,kernel_rms_norm_mul,0.056832,128000x1x1,1024x1x1,4096x125x1x1
Qcur-3,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,4096x125x1x1
Qcur-3,kernel_mul_mat_Ab_Bi_8x4,2.248960,16x1024x4,1x32x4,4096x125x1x1
Qcur-3,kernel_rope_norm_f32,0.061184,2048x125x1,64x1x1,128x32x125x1
Vcur-3,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Vcur-3,kernel_mul_mat_Ab_Bi_8x4,0.619008,16x256x4,1x32x4,1024x125x1x1
Kcur-3,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Kcur-3,kernel_mul_mat_Ab_Bi_8x4,0.604928,16x256x4,1x32x4,1024x125x1x1
Kcur-3,kernel_rope_norm_f32,0.011776,512x125x1,64x1x1,128x8x125x1
cache_k_l3 (view),kernel_set_rows_f16_i64,0.018176,128000x1x1,1024x1x1,1024x4096x1x1
cache_v_l3 (reshaped) (view),kernel_set_rows_f16_i64,0.257792,2000x64x1,1x64x1,1x4194304x1x1
node_219,kernel_mul_mat_f16_f32_l4,0.209152,16384x1x32,64x1x1,256x4x32x1
snapkv_kq_obs-3,kernel_soft_max_4,0.005888,256x32x1,64x1x1,256x4x32x1
snapkv_kq_obs-3 (permuted) (cont),kernel_cpy_f32_f32,0.071936,1024x32x1,4x1x1,4x256x32x1
snapkv_importance-3,kernel_sum_rows_f32,0.004096,256x32x1,64x1x1,1x256x32x1
snapkv_importance-3 (reshaped) (reshaped) (permuted) (cont),kernel_cpy_f32_f32,0.018944,1024x8x1,4x1x1,4x256x8x1
snapkv_imp_kv-3,kernel_sum_rows_f32,0.003072,256x8x1,64x1x1,1x256x8x1
node_231,kernel_argsort_f32_i32,0.018944,256x8x1,256x1x1,256x8x1x1
snapkv_V_sel-3,kernel_get_rows_f32,0.003072,512x8x1,64x1x1,128x8x8x1
snapkv_V_sel_t-3,kernel_cpy_f32_f32,0.011008,1024x8x1,8x1x1,8x128x8x1
snapkv_K_sel-3,kernel_get_rows_f16,0.001792,512x8x1,64x1x1,128x8x8x1
node_237,kernel_mul_mat_f32_f32,0.227072,512x32x32,64x1x1,8x125x32x1
snapkv_kq_soft_max-3,kernel_soft_max_4,0.056064,8000x32x1,64x1x1,8x125x32x1
snapkv_kqv-3,kernel_mul_mat_f32_f32,3.293952,8192x32x32,64x1x1,128x125x32x1
kqv_out-3,kernel_cpy_f32_f32,0.040960,2048x125x1,64x1x1,4096x125x1x1
cache_k_l3 (view) (permuted) (view),kernel_set_rows_f16_i64,0.002816,1024x8x1,128x1x1,128x256x8x1
snapkv_V_sel-3 (permuted) (cont),kernel_cpy_f32_f32,0.003072,512x8x1,64x1x1,128x8x8x1
cache_v_l3 (view) (view) (view),kernel_set_rows_f16_i64,0.020992,128x64x1,1x64x1,1x4194304x1x1
attn_out-3,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,4096x125x1x1
attn_out-3,kernel_mul_mat_Ab_Bi_8x4,2.235136,16x1024x4,1x32x4,4096x125x1x1
ffn_inp-3,kernel_add,0.087808,8000x1x1,64x1x1,4096x125x1x1
ffn_norm-3,kernel_rms_norm_mul,0.057088,128000x1x1,1024x1x1,4096x125x1x1
ffn_gate-3,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,14336x125x1x1
ffn_gate-3,kernel_mul_mat_Ab_Bi_8x4,7.854080,16x3584x4,1x32x4,14336x125x1x1
ffn_up-3,kernel_transpose_32_16,0.072192,4096x32x0,16x1x0,14336x125x1x1
ffn_up-3,kernel_mul_mat_Ab_Bi_8x4,8.246784,16x3584x4,1x32x4,14336x125x1x1
ffn_swiglu-3,kernel_swiglu,0.375040,64000x1x1,512x1x1,14336x125x1x1
ffn_out-3,kernel_transpose_32_16,0.248064,14336x32x0,16x1x0,4096x125x1x1
ffn_out-3,kernel_mul_mat_Ab_Bi_8x4,8.036096,16x1024x4,1x32x4,4096x125x1x1
l_out-3,kernel_add,0.101888,8000x1x1,64x1x1,4096x125x1x1
attn_norm-4,kernel_rms_norm_mul,0.058880,128000x1x1,1024x1x1,4096x125x1x1
Qcur-4,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,4096x125x1x1
Qcur-4,kernel_mul_mat_Ab_Bi_8x4,2.259968,16x1024x4,1x32x4,4096x125x1x1
Qcur-4,kernel_rope_norm_f32,0.077056,2048x125x1,64x1x1,128x32x125x1
Vcur-4,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Vcur-4,kernel_mul_mat_Ab_Bi_8x4,0.620032,16x256x4,1x32x4,1024x125x1x1
Kcur-4,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Kcur-4,kernel_mul_mat_Ab_Bi_8x4,0.611072,16x256x4,1x32x4,1024x125x1x1
Kcur-4,kernel_rope_norm_f32,0.012032,512x125x1,64x1x1,128x8x125x1
cache_k_l4 (view),kernel_set_rows_f16_i64,0.018944,128000x1x1,1024x1x1,1024x4096x1x1
cache_v_l4 (reshaped) (view),kernel_set_rows_f16_i64,0.276224,2000x64x1,1x64x1,1x4194304x1x1
node_284,kernel_mul_mat_f16_f32_l4,0.210176,16384x1x32,64x1x1,256x4x32x1
snapkv_kq_obs-4,kernel_soft_max_4,0.005888,256x32x1,64x1x1,256x4x32x1
snapkv_kq_obs-4 (permuted) (cont),kernel_cpy_f32_f32,0.071936,1024x32x1,4x1x1,4x256x32x1
snapkv_importance-4,kernel_sum_rows_f32,0.004096,256x32x1,64x1x1,1x256x32x1
snapkv_importance-4 (reshaped) (reshaped) (permuted) (cont),kernel_cpy_f32_f32,0.018944,1024x8x1,4x1x1,4x256x8x1
snapkv_imp_kv-4,kernel_sum_rows_f32,0.002048,256x8x1,64x1x1,1x256x8x1
node_296,kernel_argsort_f32_i32,0.018944,256x8x1,256x1x1,256x8x1x1
snapkv_V_sel-4,kernel_get_rows_f32,0.003072,512x8x1,64x1x1,128x8x8x1
snapkv_V_sel_t-4,kernel_cpy_f32_f32,0.009984,1024x8x1,8x1x1,8x128x8x1
snapkv_K_sel-4,kernel_get_rows_f16,0.002048,512x8x1,64x1x1,128x8x8x1
node_302,kernel_mul_mat_f32_f32,0.227072,512x32x32,64x1x1,8x125x32x1
snapkv_kq_soft_max-4,kernel_soft_max_4,0.055040,8000x32x1,64x1x1,8x125x32x1
snapkv_kqv-4,kernel_mul_mat_f32_f32,3.293952,8192x32x32,64x1x1,128x125x32x1
kqv_out-4,kernel_cpy_f32_f32,0.046848,2048x125x1,64x1x1,4096x125x1x1
cache_k_l4 (view) (permuted) (view),kernel_set_rows_f16_i64,0.004096,1024x8x1,128x1x1,128x256x8x1
snapkv_V_sel-4 (permuted) (cont),kernel_cpy_f32_f32,0.002816,512x8x1,64x1x1,128x8x8x1
cache_v_l4 (view) (view) (view),kernel_set_rows_f16_i64,0.020992,128x64x1,1x64x1,1x4194304x1x1
